	Date	estimate	change	upper	lower
1	2018-03-28	5.077695589135412	-0.01880046829710924	5.3547378156878365	4.783878050138769
2	2018-03-29	5.052514383580126	-0.02518120555528558	5.322267708393801	4.785976763026649
3	2018-03-30	5.040495301730652	-0.012019081849474311	5.318631272148267	4.7686023863874
5	2018-04-01	5.079964473281917	0.03946917155126517	5.361727092039366	4.800298766996304
6	2018-04-02	5.108593532665021	0.028629059383104227	5.369708284220427	4.833817717475974
7	2018-04-03	5.126742391531061	0.018148858866039674	5.406950463602199	4.865927811617252
8	2018-04-04	5.136502110328974	0.009759718797912598	5.393355475568155	4.869666465423536
9	2018-04-05	5.148295254126765	0.011793143797791394	5.422584002598963	4.874538844758682
10	2018-04-06	5.169589103725203	0.02129384959843783	5.443149763320646	4.904881021581564
12	2018-04-08	5.229036394631899	0.05944729090669654	5.47057428058643	4.9397542639259076
13	2018-04-09	5.257554190933121	0.02851779630122131	5.534981584469764	4.980796832310664
14	2018-04-10	5.28800382420877	0.030449633275649646	5.570618475399337	5.006716316558457
15	2018-04-11	5.3247487524792	0.036744928270429966	5.608279250957163	5.058280378804845
16	2018-04-12	5.364423340354521	0.03967458787532063	5.624292281455764	5.099580488766938
17	2018-04-13	5.395333638760614	0.030910298406093162	5.673863110114189	5.142589563422672
19	2018-04-15	5.400951567406821	0.005617928646207027	5.665035733837461	5.136190884605491
20	2018-04-16	5.391935073060905	-0.009016494345916115	5.691987400575122	5.1219697460554645
21	2018-04-17	5.395738687924856	0.00380361486395131	5.657664308103228	5.122402009865311
22	2018-04-18	5.414768622576637	0.0190299346517806	5.701958745609673	5.15818325687094
23	2018-04-19	5.434455274737035	0.019686652160397777	5.712397217426821	5.162411154055947
24	2018-04-20	5.435106914122705	0.0006516393856701441	5.7028734998763975	5.172005382160855
26	2018-04-22	5.368643840567048	-0.06646307355565728	5.652211306507149	5.104293975918615
27	2018-04-23	5.334499733893769	-0.03414410667327861	5.610267017968451	5.071265019912336
28	2018-04-24	5.318776710482037	-0.015723023411731596	5.586308615971511	5.053269735577377
29	2018-04-25	5.313823132580137	-0.004953577901900097	5.5850702423674825	5.038585995332528
30	2018-04-26	5.299325062131411	-0.01449807044872653	5.5632972033315164	5.014520173430384
31	2018-04-27	5.2603718240282396	-0.038953238103171195	5.5370178880459004	4.987991338240099
33	2018-04-29	5.137944131078367	-0.12242769294987266	5.413653802216033	4.856632119451607
34	2018-04-30	5.090421923254662	-0.047522207823704754	5.344129125358481	4.839551631097402
35	2018-05-01	5.060463284011934	-0.02995863924272779	5.366679218826802	4.782713832420509
36	2018-05-02	5.035906646721519	-0.024556637290415573	5.3165820579625285	4.748888756462499
37	2018-05-03	5.00251445913021	-0.0333921875913088	5.276875847406481	4.737950595459816
38	2018-05-04	4.956733760583104	-0.04578069854710609	5.21934874385547	4.686060434119057
40	2018-05-06	4.865460231674225	-0.09127352890887863	5.145609253375352	4.597960259962638
41	2018-05-07	4.835558895175937	-0.029901336498288522	5.093725383538768	4.553331145756607
