	Date	estimate	change	upper	lower
1	2018-03-28	28.42680512978366	0.08564462905587789	29.53123503940819	27.222512100633175
2	2018-03-29	28.37078032952105	-0.05602480026260892	29.542846442759483	27.313983309327096
3	2018-03-30	28.25115520563494	-0.11962512388610946	29.36336264673338	27.14169995599403
5	2018-04-01	28.274270039468504	0.02311483383356361	29.434797579382817	27.19214152235762
6	2018-04-02	28.4348303716918	0.16056033222329447	29.576865533310816	27.293248375004026
7	2018-04-03	28.550264793906706	0.11543442221490707	29.69020984197388	27.40778531322356
8	2018-04-04	28.52846020508278	-0.021804588823925997	29.70838611054715	27.404962717075488
9	2018-04-05	28.393977500091488	-0.13448270499129222	29.533065313926258	27.326411065323253
10	2018-04-06	28.267642108929774	-0.12633539116171377	29.42308006715833	27.071954081299747
12	2018-04-08	28.395226538428847	0.12758442949907334	29.441281701980913	27.263359979463274
13	2018-04-09	28.569933526596245	0.17470698816739727	29.76436129048182	27.4664608481629
14	2018-04-10	28.671853079603636	0.10191955300739153	29.83416785978679	27.587571764921236
15	2018-04-11	28.65499552616332	-0.016857553440317474	29.761392369441914	27.520392279765844
