	Date	estimate	change	upper	lower
1	2018-03-28	256.2719398279613	-0.30065122139058076	263.2614138801828	249.94733942530166
2	2018-03-29	256.3931350393381	0.12119521137680067	262.9575098004765	250.04091613236898
3	2018-03-30	256.8873376120497	0.494202572711572	263.7289429398748	249.71441764135372
5	2018-04-01	257.89654121738687	1.0092036053371771	263.84960031624786	251.05104755301298
6	2018-04-02	258.0564860214336	0.15994480404674505	264.3665807336916	251.6400643885705
7	2018-04-03	258.1396519793175	0.08316595788386394	264.68452243309144	251.56879327054236
8	2018-04-04	258.40190133907197	0.2622493597544917	264.9620788541075	251.65783988676674
9	2018-04-05	258.9561243006594	0.5542229615874135	265.4478185975389	252.3453716409408
10	2018-04-06	259.6939259029933	0.7378016023339455	266.4145994606556	252.52373712105322
12	2018-04-08	260.9647215173957	1.2707956144023456	267.77870442373273	254.55601521494984
13	2018-04-09	261.4199013431702	0.45517982577450766	267.74327134507064	254.69806953220376
14	2018-04-10	261.8976381723555	0.4777368291853463	268.68958648896944	255.59081135477012
15	2018-04-11	262.45597343237034	0.5583352600148146	269.0403536675766	255.92679174647606
16	2018-04-12	263.02551432971416	0.5695408973438134	269.95144262652525	256.42558189504246
17	2018-04-13	263.4974097933771	0.4718954636629178	269.4102998524297	256.3732368991769
19	2018-04-15	264.220590833372	0.7231810399949268	271.1363076756476	257.52117904346574
20	2018-04-16	264.72352621438887	0.5029353810168686	271.21553776611614	257.5724886264494
21	2018-04-17	265.3828896368167	0.6593634224278162	271.8520437201541	258.79239075401983
22	2018-04-18	266.06483573418694	0.6819460973702576	272.8649170953912	259.38165262397257
23	2018-04-19	266.6044189202269	0.5395831860399767	273.84309642258813	260.20178870824003
24	2018-04-20	266.9605139643771	0.35609504415020865	273.5874946989083	260.49564560349137
26	2018-04-22	267.63080101156606	0.6702870471889355	274.5025781285776	261.03900304539866
27	2018-04-23	268.12460207452716	0.49380106296109716	275.062957399088	261.3901163904915
28	2018-04-24	268.5940085049892	0.4694064304620156	275.18565264328026	261.7162231882303
29	2018-04-25	268.8724444821707	0.27843597718151614	275.5456507855414	262.36286108162034
30	2018-04-26	268.9501104787916	0.07766599662090812	275.8820502735957	262.39801646251516
