	Date	estimate	change	upper	lower
1	2018-03-28	256.2719398279613	-0.30065122139058076	263.06566572550423	249.72910171422077
2	2018-03-29	256.3931350393381	0.12119521137680067	262.66945383159293	249.72328971111332
3	2018-03-30	256.8873376120497	0.494202572711572	263.3646006237106	249.8742850457419
5	2018-04-01	257.89654121738687	1.0092036053371771	264.11300979113	251.27847656210204
6	2018-04-02	258.0564860214336	0.15994480404674505	264.46269032664446	252.20862956209578
7	2018-04-03	258.1396519793175	0.08316595788386394	264.89639103117196	251.66621531505817
8	2018-04-04	258.40190133907197	0.2622493597544917	265.4284351399772	251.3075454506797
9	2018-04-05	258.9561243006594	0.5542229615874135	265.39788549035217	252.31954155585643
10	2018-04-06	259.6939259029933	0.7378016023339455	266.47555227402495	253.0283371480725
12	2018-04-08	260.9647215173957	1.2707956144023456	267.57026415891227	254.33726963290655
13	2018-04-09	261.4199013431702	0.45517982577450766	268.0409333747617	254.71378735373855
14	2018-04-10	261.8976381723555	0.4777368291853463	268.29840538745475	255.40867001443127
15	2018-04-11	262.45597343237034	0.5583352600148146	269.00955706029754	255.84929479947044
16	2018-04-12	263.02551432971416	0.5695408973438134	269.95649167975955	256.75329724542337
17	2018-04-13	263.4974097933771	0.4718954636629178	270.11722547174537	256.7731418797051
19	2018-04-15	264.220590833372	0.7231810399949268	271.2409575014945	257.48255196661165
20	2018-04-16	264.72352621438887	0.5029353810168686	271.3813135135639	258.0885979499231
21	2018-04-17	265.3828896368167	0.6593634224278162	271.9808855786805	258.335655569901
22	2018-04-18	266.06483573418694	0.6819460973702576	272.94450914606665	259.37399028605506
23	2018-04-19	266.6044189202269	0.5395831860399767	272.7518197843649	259.8341861670022
24	2018-04-20	266.9605139643771	0.35609504415020865	273.6302479697157	260.09718640852685
26	2018-04-22	267.63080101156606	0.6702870471889355	274.3101191051996	261.5272001381013
27	2018-04-23	268.12460207452716	0.49380106296109716	274.8961394338162	261.35710432167957
28	2018-04-24	268.5940085049892	0.4694064304620156	275.7231394694567	262.02318552418427
29	2018-04-25	268.8724444821707	0.27843597718151614	276.0897688533424	262.37048875350024
30	2018-04-26	268.9501104787916	0.07766599662090812	275.88889133676116	262.4287048042831
31	2018-04-27	269.0228669424194	0.07275646362779753	276.3399578967483	262.7100567963607
33	2018-04-29	269.9916100924448	0.9687431500253751	276.71286363869353	263.21069707627805
34	2018-04-30	270.79409208097417	0.8024819885293937	277.8231430650729	263.9912476861299
35	2018-05-01	271.4419783148044	0.6478862338302065	277.8637402729838	264.6328053295083
36	2018-05-02	271.7421103601535	0.3001320453491303	278.63427086226295	264.74771549133027
37	2018-05-03	271.76232318155417	0.02021282140066205	278.18537660169665	264.7473914374826
38	2018-05-04	271.7553178488209	-0.007005332733285741	278.3188433443734	264.6497445628648
40	2018-05-06	272.30989778080874	0.5545799319878597	278.93295383607244	265.4863216405067
41	2018-05-07	272.7045404595884	0.39464267877963266	279.6365147217516	265.8924066326115
42	2018-05-08	272.9416218993323	0.2370814397439176	280.09912543705076	266.23338543036385
43	2018-05-09	272.9932762666672	0.051654367334890594	279.9406605839843	266.19697952492487
44	2018-05-10	272.9749052610034	-0.018371005663766482	279.95928017860945	266.42596190227306
45	2018-05-11	273.0053167986834	0.030411537679981393	279.9549840943492	266.4034417212555
47	2018-05-13	273.1183600916803	0.11304329299690608	280.3239344680908	266.4264562325478
48	2018-05-14	273.0366758333758	-0.08168425830450587	280.0972699616359	266.3262288296106
49	2018-05-15	272.90392534971414	-0.13275048366165265	280.2182378704293	265.7840565643641
50	2018-05-16	272.87176504862344	-0.03216030109069834	279.39699330420586	265.86135815711117
