	Date	estimate	change	upper	lower
1	2018-03-28	256.2719398279613	-0.30065122139058076	262.8913446138176	249.7304897128843
2	2018-03-29	256.3931350393381	0.12119521137680067	262.5842977163938	249.6960547311325
3	2018-03-30	256.8873376120497	0.494202572711572	263.60644476144927	249.96300711177435
5	2018-04-01	257.89654121738687	1.0092036053371771	264.6799711763082	251.59512985047144
6	2018-04-02	258.0564860214336	0.15994480404674505	264.6331814527254	251.50010767985881
7	2018-04-03	258.1396519793175	0.08316595788386394	265.0017971974011	250.7452297198138
8	2018-04-04	258.40190133907197	0.2622493597544917	264.4932514560863	251.52412787622924
9	2018-04-05	258.9561243006594	0.5542229615874135	265.58288047426623	252.13824661346553
10	2018-04-06	259.6939259029933	0.7378016023339455	266.41427321028306	252.81889117957095
12	2018-04-08	260.9647215173957	1.2707956144023456	267.8502957990095	254.44770820315512
13	2018-04-09	261.4199013431702	0.45517982577450766	267.7697866793427	254.72968985704506
14	2018-04-10	261.8976381723555	0.4777368291853463	268.22905370670424	255.1739120626402
15	2018-04-11	262.45597343237034	0.5583352600148146	268.8589327783262	255.09971031685825
