	Date	estimate	change	upper	lower
1	2018-03-28	256.2719398279613	-0.30065122139058076	262.9672274364046	249.8406198673888
2	2018-03-29	256.3931350393381	0.12119521137680067	263.02972534185966	250.32381984812994
3	2018-03-30	256.8873376120497	0.494202572711572	263.3258460172415	249.88804297693366
5	2018-04-01	257.89654121738687	1.0092036053371771	264.42601022993324	251.08813240236077
6	2018-04-02	258.0564860214336	0.15994480404674505	265.0323590352872	251.67980057321117
7	2018-04-03	258.1396519793175	0.08316595788386394	264.83134987992736	251.66440280270373
8	2018-04-04	258.40190133907197	0.2622493597544917	265.04970791684065	251.91610266675931
9	2018-04-05	258.9561243006594	0.5542229615874135	265.8028773349882	252.27289248683914
10	2018-04-06	259.6939259029933	0.7378016023339455	265.82931976732954	252.84876556149416
12	2018-04-08	260.9647215173957	1.2707956144023456	267.90779071867064	254.17694919566347
13	2018-04-09	261.4199013431702	0.45517982577450766	268.3202933217709	254.594745535582
14	2018-04-10	261.8976381723555	0.4777368291853463	268.23876511359066	255.6239398487221
15	2018-04-11	262.45597343237034	0.5583352600148146	269.5586101721245	255.8293176587629
16	2018-04-12	263.02551432971416	0.5695408973438134	270.0400441615071	255.972281191055
17	2018-04-13	263.4974097933771	0.4718954636629178	270.2136721966174	257.0057827587069
19	2018-04-15	264.220590833372	0.7231810399949268	270.88363040187807	257.36561304732396
20	2018-04-16	264.72352621438887	0.5029353810168686	271.4266201906383	258.4615520184563
21	2018-04-17	265.3828896368167	0.6593634224278162	271.99192665698865	259.1062924069915
22	2018-04-18	266.06483573418694	0.6819460973702576	272.63134833396003	259.4361281783234
23	2018-04-19	266.6044189202269	0.5395831860399767	273.31958836668883	259.71763634689415
24	2018-04-20	266.9605139643771	0.35609504415020865	273.66876779101653	260.0880336267525
26	2018-04-22	267.63080101156606	0.6702870471889355	274.50803233090556	261.54432792127943
27	2018-04-23	268.12460207452716	0.49380106296109716	274.73638214286945	261.76595491425104
28	2018-04-24	268.5940085049892	0.4694064304620156	275.2379437349943	261.95441444115147
29	2018-04-25	268.8724444821707	0.27843597718151614	275.6078194320346	262.23023040237877
30	2018-04-26	268.9501104787916	0.07766599662090812	275.83276536290134	261.8400214155826
31	2018-04-27	269.0228669424194	0.07275646362779753	275.674494719034	262.2151571280902
33	2018-04-29	269.9916100924448	0.9687431500253751	276.40050149653314	263.3901694013875
34	2018-04-30	270.79409208097417	0.8024819885293937	277.41665597486104	264.32893549746905
35	2018-05-01	271.4419783148044	0.6478862338302065	278.38437450896373	264.7008208320439
36	2018-05-02	271.7421103601535	0.3001320453491303	278.7983230816814	265.0755701955865
37	2018-05-03	271.76232318155417	0.02021282140066205	278.85994397005777	264.9632001683294
38	2018-05-04	271.7553178488209	-0.007005332733285741	278.01685986905113	264.707985924397
40	2018-05-06	272.30989778080874	0.5545799319878597	278.9772368604854	265.206902252079
41	2018-05-07	272.7045404595884	0.39464267877963266	280.14942299671054	265.85304599085225
42	2018-05-08	272.9416218993323	0.2370814397439176	280.0332398931582	266.02916621016476
43	2018-05-09	272.9932762666672	0.051654367334890594	279.72926602684663	265.24245249820035
44	2018-05-10	272.9749052610034	-0.018371005663766482	279.5436412914289	265.49742893558306
45	2018-05-11	273.0053167986834	0.030411537679981393	279.6213671260726	265.99522511043915
47	2018-05-13	273.1183600916803	0.11304329299690608	279.92044578671187	266.3975824174474
48	2018-05-14	273.0366758333758	-0.08168425830450587	280.33464312025717	265.896728409253
49	2018-05-15	272.90392534971414	-0.13275048366165265	279.4828614852699	266.23097973702136
50	2018-05-16	272.87176504862344	-0.03216030109069834	279.97660854461543	265.54534127375575
51	2018-05-17	273.03588193536217	0.16411688673872504	279.8563886575146	266.2570400452982
52	2018-05-18	273.33531292061343	0.2994309852512629	280.3373517595865	266.3964851649192
54	2018-05-20	273.7223090422871	0.3869961216736897	280.5793249328606	266.6748481383105
55	2018-05-21	273.7401699514334	0.017860909146293125	280.94989427845746	266.72028447526463
56	2018-05-22	273.8142703120798	0.0741003606464119	280.67429260788026	267.0608254827268
57	2018-05-23	274.04881692422424	0.2345466121444133	280.9616505909705	266.8386289457062
58	2018-05-24	274.37771026599404	0.328893341769799	281.8297617664169	267.03501941322116
59	2018-05-25	274.6204911081997	0.24278084220566143	281.85121099629504	267.5090348804324
61	2018-05-27	274.6121893501824	-0.008301758017296379	281.55897948193183	267.3855840058674
62	2018-05-28	274.70336567694096	0.09117632675855702	282.2175074535986	267.48558328021466
63	2018-05-29	275.12643449030196	0.4230688133609988	282.38380717297775	268.25685076104924
64	2018-05-30	275.8263477106593	0.6999132203573595	283.57680119920786	268.0753284701032
65	2018-05-31	276.52675669323406	0.7004089825747428	283.55244986926215	269.55868245620945
66	2018-06-01	276.94208962768425	0.41533293445019126	284.6257921645196	269.82367869805057
68	2018-06-03	276.875088837883	-0.06700078980122726	284.93854982407663	269.66672339433507
