	Date	estimate	change	upper	lower
1	2018-03-28	42.11289051868158	0.08218654657110136	42.99894070741994	41.187829993920914
2	2018-03-29	42.17186934034022	0.05897882165864132	43.073286493284975	41.18236412659935
3	2018-03-30	42.20797033792241	0.036100997582188654	43.13372200621239	41.28499255432002
5	2018-04-01	42.353601711743835	0.14563137382142344	43.25829876240063	41.44545885452597
6	2018-04-02	42.51753554704204	0.16393383529820227	43.453317571362675	41.61969009188201
7	2018-04-03	42.71359485067565	0.19605930363361068	43.6195985593977	41.837510585680015
8	2018-04-04	42.88398106174409	0.17038621106843976	43.813246732638355	41.98542669770952
9	2018-04-05	42.988195347859566	0.10421428611547867	43.9054411335381	42.056296477164935
10	2018-04-06	43.03145339698894	0.04325804912937059	44.00473713706381	42.10971214110525
12	2018-04-08	43.100801824465435	0.06934842747649839	44.071985049236886	42.20414659539769
13	2018-04-09	43.173543795427605	0.07274197096216994	44.03784354762835	42.271391536097994
14	2018-04-10	43.24491771690258	0.07137392147497224	44.09793158534252	42.32912606820393
15	2018-04-11	43.28054782606085	0.03563010915826936	44.19510770862058	42.41991157560823
16	2018-04-12	43.27157656773841	-0.008971258322439724	44.17975883735666	42.3276112013788
17	2018-04-13	43.239897922617416	-0.03167864512099072	44.1424515261441	42.31808035988651
19	2018-04-15	43.209426841260154	-0.03047108135726262	44.16171089380802	42.28657783925126
20	2018-04-16	43.20690064576581	-0.0025261954943402998	44.131174956057706	42.272553168397536
21	2018-04-17	43.18526702083087	-0.021633624934942475	44.12007181643721	42.28470978877343
22	2018-04-18	43.13635858640964	-0.04890843442122872	44.05138941995455	42.17763078166391
23	2018-04-19	43.072057619530895	-0.06430096687874709	43.986279582860796	42.134747036239666
24	2018-04-20	43.00983600185098	-0.062221617679917074	43.931006436737086	42.12018491098917
26	2018-04-22	42.9013920071968	-0.10844399465418064	43.79869035046192	41.98727805555043
27	2018-04-23	42.84114669909664	-0.06024530810015705	43.798686719256004	41.89868898136445
28	2018-04-24	42.7824994307882	-0.058647268308440914	43.731456890114494	41.86368851685198
29	2018-04-25	42.74283974063557	-0.039659690152632265	43.6019848235485	41.81920227330401
30	2018-04-26	42.72995110715075	-0.012888633484820389	43.7701017746295	41.803786467476726
31	2018-04-27	42.72874762567216	-0.0012034814785835124	43.64358884868893	41.721270247749686
33	2018-04-29	42.663397042060204	-0.06535058361195922	43.6552464715171	41.64469711459772
34	2018-04-30	42.60582153197874	-0.05757551008146322	43.617477833194926	41.61919348221038
35	2018-05-01	42.58264163816864	-0.023179893810102215	43.61346545654566	41.62821374833446
36	2018-05-02	42.62711637767536	0.04447473950671821	43.65028986263651	41.60107675423248
37	2018-05-03	42.73080579966783	0.10368942199247044	43.75778646646774	41.82904059208868
38	2018-05-04	42.845411848058774	0.11460604839094657	43.90936563062681	41.783847260847836
40	2018-05-06	42.930896909986444	0.08548506192767036	43.92336849115384	41.99865960694446
41	2018-05-07	42.912116636916224	-0.018780273070220233	43.95974709611335	41.833705876606
42	2018-05-08	42.908921608860574	-0.0031950280556500843	44.00975293660573	41.80849544132581
43	2018-05-09	42.94766635556875	0.038744746708175626	44.04001017782126	41.95993393592251
44	2018-05-10	43.0150901580718	0.06742380250305047	44.0777165355659	41.95015043597439
45	2018-05-11	43.075055443596746	0.059965285524945955	44.1851301584161	41.98128120985389
47	2018-05-13	43.10659483698607	0.03153939338932332	44.15746447846152	42.02556950908175
48	2018-05-14	43.11480398663894	0.008209149652870451	44.247232838397245	42.01749553462401
49	2018-05-15	43.149855592993475	0.035051606354535636	44.300540443051716	42.06192468797225
50	2018-05-16	43.20793958072057	0.058083987727094666	44.33740762203388	42.081787993974075
