	Date	estimate	change	upper	lower
1	2018-03-28	42.11289051868158	0.08218654657110136	43.04423532966169	41.11907661364711
2	2018-03-29	42.17186934034022	0.05897882165864132	43.078719201646365	41.29727876434917
3	2018-03-30	42.20797033792241	0.036100997582188654	43.15236209109583	41.26627192798801
5	2018-04-01	42.353601711743835	0.14563137382142344	43.183505563324125	41.474376013542006
6	2018-04-02	42.51753554704204	0.16393383529820227	43.45361263783452	41.62130226689137
7	2018-04-03	42.71359485067565	0.19605930363361068	43.61848246853257	41.72096629518559
8	2018-04-04	42.88398106174409	0.17038621106843976	43.783926048968844	41.98944824952544
9	2018-04-05	42.988195347859566	0.10421428611547867	43.884468807841415	42.042471191634434
10	2018-04-06	43.03145339698894	0.04325804912937059	43.86937337147947	42.21031569582274
12	2018-04-08	43.100801824465435	0.06934842747649839	44.007596998035496	42.22977673666693
13	2018-04-09	43.173543795427605	0.07274197096216994	44.13325105350437	42.21381400263689
14	2018-04-10	43.24491771690258	0.07137392147497224	44.14369904948792	42.3194715383128
15	2018-04-11	43.28054782606085	0.03563010915826936	44.25307774090223	42.4459574576981
16	2018-04-12	43.27157656773841	-0.008971258322439724	44.17979668076898	42.363508343118845
17	2018-04-13	43.239897922617416	-0.03167864512099072	44.19954433964924	42.326999877640546
19	2018-04-15	43.209426841260154	-0.03047108135726262	44.11853132651712	42.32432077398026
20	2018-04-16	43.20690064576581	-0.0025261954943402998	44.19634721587212	42.27820785964715
21	2018-04-17	43.18526702083087	-0.021633624934942475	44.142057309174824	42.271544356739355
22	2018-04-18	43.13635858640964	-0.04890843442122872	44.07720557266702	42.16800860153278
23	2018-04-19	43.072057619530895	-0.06430096687874709	44.013842530073475	42.150963181931104
24	2018-04-20	43.00983600185098	-0.062221617679917074	43.94047558627134	42.070271214472356
26	2018-04-22	42.9013920071968	-0.10844399465418064	43.89007833556302	42.002869529460206
27	2018-04-23	42.84114669909664	-0.06024530810015705	43.79267084147112	41.89697399438427
28	2018-04-24	42.7824994307882	-0.058647268308440914	43.7042382230119	41.780113555907676
29	2018-04-25	42.74283974063557	-0.039659690152632265	43.67503877764602	41.838709176909084
30	2018-04-26	42.72995110715075	-0.012888633484820389	43.68463804033135	41.76830160187906
31	2018-04-27	42.72874762567216	-0.0012034814785835124	43.71794964313376	41.74930946663926
33	2018-04-29	42.663397042060204	-0.06535058361195922	43.61030223121476	41.687659324035224
34	2018-04-30	42.60582153197874	-0.05757551008146322	43.5759053265574	41.62703914683193
35	2018-05-01	42.58264163816864	-0.023179893810102215	43.59099935371087	41.644499776870205
36	2018-05-02	42.62711637767536	0.04447473950671821	43.59562288811491	41.68231731039508
37	2018-05-03	42.73080579966783	0.10368942199247044	43.686881370483846	41.63933153141496
38	2018-05-04	42.845411848058774	0.11460604839094657	43.90007059779175	41.865819095973684
40	2018-05-06	42.930896909986444	0.08548506192767036	43.958295269761514	41.85906608614873
41	2018-05-07	42.912116636916224	-0.018780273070220233	43.93499206955905	41.908067774165865
42	2018-05-08	42.908921608860574	-0.0031950280556500843	43.94610320963262	41.8281314389757
43	2018-05-09	42.94766635556875	0.038744746708175626	43.97241795053911	41.946951807227975
44	2018-05-10	43.0150901580718	0.06742380250305047	44.03398451371135	41.94452228363493
45	2018-05-11	43.075055443596746	0.059965285524945955	44.129826547497906	42.02149261520803
47	2018-05-13	43.10659483698607	0.03153939338932332	44.248918117817084	41.98816266903116
48	2018-05-14	43.11480398663894	0.008209149652870451	44.29884704685457	42.02713384531954
49	2018-05-15	43.149855592993475	0.035051606354535636	44.289807958314654	42.0589631213011
50	2018-05-16	43.20793958072057	0.058083987727094666	44.35546301231252	42.047111523080424
51	2018-05-17	43.26610115537568	0.058161574655109405	44.45619432921316	42.12799115800947
52	2018-05-18	43.305545976579594	0.039444821203915126	44.462817619937766	42.18857081169199
54	2018-05-20	43.348010253348484	0.04246427676888942	44.522419967433045	42.19712898073116
55	2018-05-21	43.37852940123361	0.030519147885122777	44.50784190302006	42.23079141698033
56	2018-05-22	43.41577979151427	0.03725039028066135	44.66469324085099	42.24246911947018
57	2018-05-23	43.449145986693665	0.033366195179397096	44.62373825563921	42.28029310411044
58	2018-05-24	43.47723088924424	0.028084902550574498	44.6671546309082	42.371520810107135
59	2018-05-25	43.51321042933836	0.03597954009411808	44.74222070045035	42.25096970357494
61	2018-05-27	43.6466728216143	0.1334623922759448	44.94960245539897	42.38952068393003
62	2018-05-28	43.714558588280546	0.0678857666662438	45.099816556232525	42.44046028694895
