	Date	estimate	change	upper	lower
1	2018-03-28	53.53221201047968	-0.38375680383026634	55.24917546306369	51.77889138321964
2	2018-03-29	53.13162404776588	-0.40058796271380004	54.97825081530559	51.388524940989676
3	2018-03-30	52.9764047064338	-0.15521934133208504	54.772295060243465	51.244922751711385
5	2018-04-01	53.434078456389145	0.4576737499553474	55.200821100727794	51.719125928102336
6	2018-04-02	53.64092937034649	0.20685091395734645	55.44868863080079	51.91751941225264
7	2018-04-03	53.62426024473937	-0.016669125607123192	55.31261404751851	51.87822918080203
8	2018-04-04	53.44804050176836	-0.17621974297100707	55.11524285394291	51.571271811588296
9	2018-04-05	53.28558126593024	-0.16245923583812072	55.1802407961423	51.519752400942046
10	2018-04-06	53.270959626263746	-0.01462163966649399	55.10988731360125	51.48993215805155
12	2018-04-08	53.64993176870179	0.37897214243804456	55.33756414487482	51.80824804559408
13	2018-04-09	53.89659420448128	0.24666243577949132	55.58980235742344	52.10714411591222
14	2018-04-10	54.13097094691058	0.23437674242929774	55.89720920835009	52.27887577158954
15	2018-04-11	54.347704153925854	0.21673320701527388	56.103824647416644	52.57401670686488
16	2018-04-12	54.51954636186167	0.17184220793581773	56.244550718425	52.71727975798975
17	2018-04-13	54.605994148137114	0.0864477862754427	56.449961429607065	52.95883805328165
19	2018-04-15	54.6183750247715	0.012380876634388471	56.37888159926183	52.76949757431886
20	2018-04-16	54.738974232484495	0.12059920771299204	56.479452237512064	52.91805892587909
21	2018-04-17	55.00578504448722	0.26681081200272416	56.8560471138745	53.254560744670286
22	2018-04-18	55.31352591491086	0.3077408704236433	57.09514545988856	53.612142767037696
23	2018-04-19	55.485505885361945	0.17197997045108337	57.27582072790748	53.66975334165711
24	2018-04-20	55.428341936633366	-0.05716394872857933	57.153845332254726	53.6790124082852
26	2018-04-22	55.1527521641614	-0.27558977247196736	56.936538828244416	53.371803550413034
27	2018-04-23	55.354075459981956	0.20132329582055775	57.090590005385394	53.57062579596746
28	2018-04-24	55.80913802127757	0.4550625612956125	57.676882322118615	54.02045616253318
29	2018-04-25	56.26842728270703	0.45928926142946125	58.03274124591869	54.42558776572576
30	2018-04-26	56.45294563737733	0.18451835467030264	58.13865054552521	54.67962666078617
31	2018-04-27	56.27365303004873	-0.1792926073286054	58.104962720244295	54.50375051543547
33	2018-04-29	55.62316927534182	-0.6504837547069044	57.53814246941778	53.677832658011695
34	2018-04-30	55.6217824267203	-0.001386848621521608	57.520509108508925	53.78601515241618
35	2018-05-01	55.83792257604807	0.21614014932777081	57.597705867129456	54.04052372301234
36	2018-05-02	56.043382510736315	0.20545993468824264	57.86879661544696	54.22084103850346
37	2018-05-03	56.0342157992276	-0.009166711508711956	57.81035281009581	54.177230658112514
38	2018-05-04	55.781215902434724	-0.25299989679287904	57.62958514683096	53.98525602522329
