	Date	estimate	change	upper	lower
1	2018-03-28	53.53221201047968	-0.38375680383026634	55.25901774811375	51.70200424906865
2	2018-03-29	53.13162404776588	-0.40058796271380004	54.87798475543482	51.32181104218024
3	2018-03-30	52.9764047064338	-0.15521934133208504	54.71089570961195	51.239945014539956
5	2018-04-01	53.434078456389145	0.4576737499553474	55.23522489303845	51.67428993546295
6	2018-04-02	53.64092937034649	0.20685091395734645	55.3436329445072	51.76005685719355
7	2018-04-03	53.62426024473937	-0.016669125607123192	55.55111030228332	51.844814531676384
8	2018-04-04	53.44804050176836	-0.17621974297100707	55.06644539237095	51.74389307488309
9	2018-04-05	53.28558126593024	-0.16245923583812072	54.84787416668886	51.40618385905765
10	2018-04-06	53.270959626263746	-0.01462163966649399	55.08907499133119	51.51339514103664
12	2018-04-08	53.64993176870179	0.37897214243804456	55.49749035872665	51.83137769273015
13	2018-04-09	53.89659420448128	0.24666243577949132	55.62668153485493	52.03702426364272
14	2018-04-10	54.13097094691058	0.23437674242929774	55.89350904844467	52.238764938418015
15	2018-04-11	54.347704153925854	0.21673320701527388	56.09527250044137	52.43639609867672
16	2018-04-12	54.51954636186167	0.17184220793581773	56.14783843114082	52.72348093632493
17	2018-04-13	54.605994148137114	0.0864477862754427	56.279189190427886	52.759296330574585
19	2018-04-15	54.6183750247715	0.012380876634388471	56.40942440522638	52.90081869843694
20	2018-04-16	54.738974232484495	0.12059920771299204	56.49387671467251	53.179696612232334
21	2018-04-17	55.00578504448722	0.26681081200272416	56.82707655857387	53.09669283536894
22	2018-04-18	55.31352591491086	0.3077408704236433	56.89132184575848	53.46055113782259
23	2018-04-19	55.485505885361945	0.17197997045108337	57.501816823374746	53.75004308933805
24	2018-04-20	55.428341936633366	-0.05716394872857933	57.203146192037174	53.52604892653873
26	2018-04-22	55.1527521641614	-0.27558977247196736	57.021522941033005	53.26931640161841
27	2018-04-23	55.354075459981956	0.20132329582055775	57.08339305129779	53.56216885803728
28	2018-04-24	55.80913802127757	0.4550625612956125	57.688078778243415	53.931606936926194
29	2018-04-25	56.26842728270703	0.45928926142946125	58.15828566610531	54.71201990859217
30	2018-04-26	56.45294563737733	0.18451835467030264	58.12936998122053	54.68841165239709
31	2018-04-27	56.27365303004873	-0.1792926073286054	58.050734963068095	54.54047438157009
33	2018-04-29	55.62316927534182	-0.6504837547069044	57.424152235956846	53.73225991248678
34	2018-04-30	55.6217824267203	-0.001386848621521608	57.33462721146484	53.67631685694934
35	2018-05-01	55.83792257604807	0.21614014932777081	57.72653759950299	53.88107910508384
36	2018-05-02	56.043382510736315	0.20545993468824264	57.757841382048575	54.2183164602665
37	2018-05-03	56.0342157992276	-0.009166711508711956	57.922097798665206	54.07871093401781
38	2018-05-04	55.781215902434724	-0.25299989679287904	57.644583453260665	53.94998961690274
40	2018-05-06	55.13300093270266	-0.6482149697320665	56.941399268856	53.3533388085441
41	2018-05-07	54.990465267478605	-0.14253566522405237	56.852483919024294	53.07983771697428
42	2018-05-08	54.958371339094825	-0.032093928383780224	56.823315193244916	53.1474324171049
43	2018-05-09	54.95698279165226	-0.0013885474425663347	56.87663258547571	53.06000035322584
44	2018-05-10	54.940252647665005	-0.016730143987253143	56.87456350317463	53.15308316787373
45	2018-05-11	54.90313519752445	-0.03711745014055623	56.8272328426301	52.94708609524715
47	2018-05-13	54.707547663333685	-0.19558753419076425	56.424431273769294	52.79140598974908
48	2018-05-14	54.4931618480341	-0.2143858152995861	56.26056760651517	52.50360106140771
49	2018-05-15	54.24252636700692	-0.2506354810271816	56.12612913802387	52.272481094365254
50	2018-05-16	54.06907847668906	-0.1734478903178598	55.93335828376155	52.043300169357394
51	2018-05-17	54.06216603852146	-0.006912438167596235	55.896897373526606	52.08675716581473
52	2018-05-18	54.18951013850521	0.12734409998375185	56.08222814151443	52.20232988828145
54	2018-05-20	54.23284505375692	0.0433349152517053	56.15905925111593	52.17395573913251
55	2018-05-21	53.995973158640794	-0.23687189511612416	55.896055089270355	51.949577849343484
56	2018-05-22	53.77175430597574	-0.2242188526650537	55.642958022053925	51.70117112666777
57	2018-05-23	53.79784350663931	0.02608920066357001	55.71120467291171	51.87998019046379
58	2018-05-24	54.1628495286465	0.36500602200718646	56.02348707117992	52.278276975394476
59	2018-05-25	54.71101062406544	0.5481610954189406	56.733517036163335	52.62065587072683
61	2018-05-27	55.263838055612844	0.5528274315474064	57.22868958783766	53.20173405633845
62	2018-05-28	55.10494816113722	-0.15888989447562096	57.04472102119835	53.11489193862959
63	2018-05-29	54.92487126253628	-0.18007689860094445	56.89350935730774	52.90840126250068
64	2018-05-30	54.98169555263003	0.05682429009375056	57.03303621783189	52.84111342635782
65	2018-05-31	55.33655474285176	0.35485919022173107	57.27064616705681	53.1991137856476
66	2018-06-01	55.82199895090864	0.48544420805688304	57.7144351486904	53.78341122817803
68	2018-06-03	56.314771882583244	0.492772931674601	58.2985639880887	54.243285985269225
69	2018-06-04	56.251735133726086	-0.06303674885715793	58.26219824520321	54.14963882117926
70	2018-06-05	56.173580441946754	-0.0781546917793321	58.25840984495286	54.142661208246864
71	2018-06-06	56.212430741174025	0.03885029922727057	58.1571624449476	54.172345865631144
72	2018-06-07	56.379813403242196	0.16738266206817087	58.43227699982514	54.20982574397254
73	2018-06-08	56.60099552983845	0.22118212659625414	58.5155428859463	54.43666071774997
75	2018-06-10	56.96015217595858	0.35915664612012677	59.007975558563835	54.58513724330938
76	2018-06-11	57.06850840617364	0.10835623021506535	59.139477148917145	54.82290212755284
77	2018-06-12	57.10267057732994	0.034162171156296495	59.32386273772576	54.94276949204486
78	2018-06-13	57.02466572422919	-0.07800485310075089	59.022894711545646	54.850183393361206
79	2018-06-14	56.841776356381224	-0.18288936784796306	58.98039430736891	54.6210763748874
80	2018-06-15	56.640800360259554	-0.20097599612167016	58.86718104446699	54.29969598164756
82	2018-06-17	56.56862267557561	-0.07217768468394326	58.69555147587229	54.159992592750406
83	2018-06-18	56.63412409259935	0.06550141702373935	58.80431059333331	54.35715394951089
84	2018-06-19	56.56208075016555	-0.07204334243380117	58.71122999227453	54.2718098784012
85	2018-06-20	56.264117363524086	-0.29796338664146305	58.45478827380851	54.10361389135994
86	2018-06-21	55.84229726437464	-0.42182009914944274	58.08091544513616	53.456587540211125
87	2018-06-22	55.53636373793413	-0.3059335264405121	57.67405429223287	53.30980126958883
89	2018-06-24	55.81071057805358	0.2743468401194491	57.89056393459266	53.455072632834046
90	2018-06-25	56.11553374559168	0.30482316753809613	58.36569548120547	53.7385440904021
91	2018-06-26	56.174450142582074	0.05891639699039786	58.54196648221024	53.79234232498803
